"","identifier","text"
"1","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.preface.1","cum divino tuus mens et numen imperator caesar imperium potio orbis terra invictus virtus cunctus hostis sterno triumpho victoria tuus civis glorior et gens omnis subigo tuus specto nutus populus romanus et senatus libero timor amplus tuus cogitatio consilium guberno non audeo tantus occupatio de architectura scribo et magnus cogitatio explicate edo metuo neo non aptus tempus interpello subeo tu animus offensio"
"2","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.preface.2","cum verus attendo tu non solus de vita communis omnis cura publicus res constitutio habeo sed etiam de opportunitas publicus aedificium ut civitas per tu non solus provincia sum augeo verus etiam ut majestas imperium publicus aedificium egregius habeo auctoritas non puto praetermitto quin primus quoque tempus de hic res is tu edo ideo qui primus pareo tuus de is sum nosco et is virtus studiosus cum autem concilium caelestis in sedes immortalitas is dedico et imperium pareo in tuus potestas transfero idem studium mei in is memoria permaneo in tu confero favor ito cum m aurelio et p minidio et gn cornelio ad apparationem ballista et scorpio reliquus tormentum refectio sum praesto et cum is commodus accipio qui cum primus ego tribuo recognitio per soror commendatio servo"
"3","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.preface.3","cum ergo is beneficium sum obligo ut ad exeo vita non habeo inopia timor hic tu scribo coepio qui animadverto multus tu aedifico et nunc aedifico reliquus quoque tempus et publicus et privo aedificium pro amplitudo res gero ut posterus memoria trado cura habeo conscribo praescriptio termino ut is attendo et ante facio et sum qualis sum opus per tu possum nosco habeo nam hic volumen aperio omnis disciplina ratio"
"4","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.1","architectus sum scio multus disciplina et varius eruditio orno qui judicium probo omnis qui ab ceterus ars perficio opus is nascor ex fabrico et ratiocinatio fabrico sum continuo atque tero utor meditatio qui manus perficio ex materio quicumque genus opus sum ad propono deformatio ratiocinatio autem sum qui res fabrico sollertia atque ratio pro demonstro atque explicate possum"
"5","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.2","ito architectus qui sinum littera contendo ut manus sum exercito non possum efficio ut habeo pro labor auctoritas qui autem ratiocinatio et littera solum confido sum umbra non res per-sequor video at qui uter perdisco utor omnis armus orno cieo cum auctoritas qui sum propono sum ad-sequor"
"6","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.3","cum in omnis enim res tum magnus etiam in architectura hic duo insum qui significo et qui significo significo propono res de qui dico hic autem significo demonstratio ratio doctrina explicate quare video uter pars exercito sum debeo qui sui architectus profiteor ito is etiam ingeniosus oportet sum et ad disciplina docilis neque enim ingenium sinum disciplina aut disciplina sinum ingenium perficio artifex possum efficio et ut litteratus sum pereo graphidos erudio geometria historia complures nosco philosophus diligens audio musicus scio medicinus non sum ignarus respondeo jurisconsultus nosco astrologia caelus ratio cognosco habeo"
"7","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.4","qui cur ito sum hic sum causa littera architectus scio oportet utor commentarius memoria firmus efficio possum deinde graphidis scientia habeo qui facilis exemplar pertaedet qui volo opus species deformo valeo geometria autem multus praesidium praesto architectura et primus ex euthygrammum circini trado utor regula ex qui magnus facilis aedificium in area expedio descriptio norma et libratio et linea directio ito per optice in aedificium ab certus regio caelum lumen rego duco per arithmetica verus sumo aedificium consummo metior ratio explicate difficilis symmetria quaestio geometrice ratio et methodium invenio"
"8","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.5","historia autem multus nosco oportet qui multus ornamentum saepis in opus architectus designo de qui argumentum ratio cur facio quaero reddo debeo quemadmodum si quis statuo marmoreus muliebris stolatae qui caryatides dico pro columna in opus statuo et insuper mutulus et corona con-loco percontor ito reddo ratio carya civitas peloponnensis cum permulceo hostis contra graeciam consentio postea graeci per victoria gloriosus bellus libero communis consilium caryatibus bellus indico ito oppidum capio vis interficio civitas deflagro matrona is in servitus abduco neque sum patior stola neque orno matronalis depono non utor unus triumpho duco sed aeternus servitus exemplum gravis contumelia premo poena pendeo video pro civitas ideo qui tunc architectus sum aedificium publicus designo is imago onus fero con-loco ut etiam posterus nosco poena peccatum caryatium memoria trado"
"9","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.6","non parvus lacones pausania agesilae filius duco plataico proelium paucus manus infinitus numerus exerceo permulceo cum supero ago cum glorior triumpho spolium et praeda porticus persicam ex manubius laus et virtus civis indico victoria posterus pro tropaeum constituo ibi captivus simulacrum barbaricum vestio orno superbia mereo contumelia punior sustineo tego con-loco utor et hostis horresco timor is fortitudo efficio et civis is exemplum virtus aspicio glorior erigo ad defendo libertas sum paro ito ex is multus statuo persicas sustineo epistylium et ornamentum is con-loco et ito ex is argumentum varietas egregius augeo opus ito sum alius idem genus historia qui notitia architectus teneo oportet"
"10","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.7","philosophia verus perficio architectus animus magnus et utor non sum ad-rogo sed potis facilis aequus et fidelis sinum avaritia qui sum magnus nullus enim opus verus sinum fides et castitas fio possum neo sum cupidus neque in munus accipio habeo animus occupo sed cum gravitas suus tueor dignitas bonus fama habeo et hic enim philosophia praescribo praeterea de res natura qui graece φυσιολογία dico philosophia explicate qui necesse sum studiosus nosco qui habeo multus et varius naturalis quaestio ut etiam in aqua ductio incursus enim et circuitio et libro planities ex pressio spiritus naturalis aliter atque aliter fio qui offensio medeor nemo possum nitor qui ex philosophia principium res natura nosco ito qui ctesibii aut archimedis et ceterum qui idem genus praecipio conscribo lego sentio non possum nitor hic res ab philosophus sum instituo"
